"Progress of species at risk towards their population and distribution objectives, Canada, May 2024",,,,,,,,,,
,,,,,,,,,,
Common name,Scientific name,Species group,Species at Risk Act status,Final recovery document date,Reassessment date,Progress report date,Recovery document objectives ,Species data,Rationale,Progress of species at risk towards their population and distribution objectives
Small whorled pogonia,Isotria medeoloides,"Vascular plant, herb",Endangered,6/20/2007,5/1/2011,5/1/2011,The long-term goal (2006 to 2026) of this recovery strategy is to maintain the persistence and viability of Canada's only population. Protect extant populations and viable habitat.,"This species' habitat has continued to decline in quality and it has not been seen since 1998. However, this species can remain dormant for years at a time, and therefore there is still a chance it exists.",No new sightings of this species in Canada have been recorded. Habitat is declining in quality.,No
Small-flowered sand-verbena,Tripterocalyx micranthus,"Vascular Plant, herb",Endangered,11/30/2012,12/1/2022,,To maintain the persistence of known naturally occurring populations within the current range of the species in Canada.,"Canadian population size was estimated at 5,152 plants.",Population size and trends for this species cannot be accurately described because of incomplete data for most subpopulations. Suffield NWA subpopulation exhibited stable trends.,Insufficient data to determine trends
Snuffbox,Epioblasma triquetra,Mollusc,Endangered,7/30/2019,11/1/2011,2/2/2024,"Prevent extirpation of Snuffbox in Canada. Return healthy self-sustaining populations to the Ausable, Grand, Sydenham and Thames rivers and the St. Clair River delta.","Snuffbox continues to be detected during routine index station monitoring in the Ausable and Sydenham rivers. Snuffbox is currently restricted to the East Sydenham and Ausable rivers. Abundance has declined since the 1960s, but reproduction is still occurring. While it may appear that the population size has recently increased since 2001, it is most likely due to increased sampling effort.",Populations in the Sydenham and Ausable rivers appear to be viable as reproduction is occurring at both. The extent of occupancy in these rivers has remained stable.,Mixed evidence
Soapweed,Yucca glauca,"Vascular plant, herb",Threatened,8/11/2011,5/1/2013,5/1/2013,"Maintain the existing habitat and distribution of soapweed in Alberta. Maintain naturally self-sustaining populations at the AAFC Onefour Research Station site and increase the reproductive capacity at the Pinhorn site. By 2011, attain a value for annual fruiting success for the Pinhorn population of at least 5% of flowers and maintain annual fruiting success at AAFC Onefour Research Station of at least 7% of flowers. Ensure no loss of soapweed plants due to harvesting for horticultural or medicinal purposes.","This species is only known from 3 prairie sites. A slight increase has been observed at 1 site but longer-term trends are uncertain. Other sites are stable. Fruiting success has increased at Pinhorn, in part due to protection from deer. A critical component of Soapweed population health in the long term is the persistence of the mutualism with the Yucca Moth, as Soapweed plants are pollinated exclusively by Yucca Moth.",No decline or fluctuation in population has been documented. Fruiting success has increased at 1 site.,Yes
Sonora skipper,Polites sonora,Insect,Not at risk,12/30/2015,11/1/2016,11/1/2016,Ensure the persistence at all known (and newly recorded) locations throughout the species' range in British Columbia.,There is insufficient information to estimate population trends. All subpopulations are considered to be self-sustaining.,There is no evidence of a decline.,Yes
Sowerby's beaked whale,Mesoplodon bidens ,Mammal,Special Concern,4/26/2017,5/1/2019,,Maintain a stable Sowerby’s Beaked Whale population throughout its range in Atlantic Canadian waters.,Available population estimates are based on limited data and have very large confidence intervals. Therefore there are insufficient data to estimate total population size or to detect trends.,Population trends are unknown.,Insufficient data to determine trends
Speckled dace,Rhinichthys osculus,"Fish, freshwater",Endangered,5/1/2018,11/1/2016,12/22/2023,Maintain current distribution and abundance within natural fluctuations.,"The current population estimate of approximately 940,000 adult fish may be low (due to sampling methodology) and its entire distribution may not have been sampled; as well, the estimate is a single one, so a population trend cannot be discerned.","The status of the species is believed to be stable based on continued observation of the speckled dace in monitoring programs, though definitive population abundance and trend data are lacking.",Insufficient data to determine trends
Spoon-leaved moss,Bryoandersonia illecebra,Moss,Threatened,10/25/2006,11/1/2017,11/1/2017,"Conserve existing populations in the long term and, if feasible, restore long-term stability and self-sustainability by increasing the size of existing populations and/or the number of known occurrences.","Previous reporting identified 3 subpopulations. Due to an increase in search effort, 20 subpopulations have now been identified. Sizes of most subpopulations revisited appear stable, however there has not been sufficient sampling to determine population trends.",Sizes of revisited subpopulations appear stable.,Yes
Spotted gar,Lepisosteus oculatus,"Fish, freshwater",Endangered,10/30/2012,11/1/2015,5/9/2018,"Maintain current distributions and densities of extant populations Point Pelee National Park, Rondeau Bay and Long Point Bay.","There are no long-term data for this species. Current population estimate of mature individuals for Point Pelee is 483, for Rondeau Bay is 8121 and the Long Point Bay population is likely very small (only 21 individuals captured since 1947).",Population trends are unknown.,Insufficient data to determine trends
"Spotted owl, caurina subspecies",Strix occidentalis caurina,Bird,Endangered,10/25/2006,4/1/2008,4/1/2008,"Immediate objective is to stop the population decline. Establish a stable or increasing, self-sustaining population (more than 250 mature individuals) that is distributed throughout its natural range.","Populations of the Spotted Owl have declined throughout its range in Canada. In British Columbia, inventories between 1992 and 2002 indicate the Canadian population declined by approximately 67% during that period. At the low population levels of 2002, extirpation of the Spotted Owl from Canada was estimated to likely occur within 5 to 10 years.",Population continues to decline; extirpation appears likely.,No
Spotted sucker,Minytrema melanops,"Fish, freshwater",Special Concern,10/19/2009,11/1/2014,4/26/2022,"Maintain, or enhance, existing populations, and improve the quality and quantity of their associated habitats.",It is difficult to establish viable estimates of population size and distribution in the absence of detailed abundance records.,Further monitoring and assessment should be conducted to refine the extent of the distributions for these species and determine their abundance.,Insufficient data to determine trends
Spotted wintergreen,Chimaphila maculata,"Vascular plant, herb",Threatened,12/30/2015,4/1/2017,4/1/2017,"Maintain the current abundance and the distribution of all existing sub-populations in Canada, and increase the abundance where possible.","Surveys from 2011–2014 suggest that abundance, indicated by stem counts, is certainly stable, and may be increasing.",The population appears to be stable or increasing.,Yes
Spotted wolffish,Anarhichas minor,"Fish, marine",Threatened,2/27/2020,11/1/2012,8/28/2013,Increase the population levels and distribution such that the long-term viability of this species is achieved.,"This species underwent strong declines from the late 1970s until the mid-1990s, but since then there has been some recovery over most of its Canadian range. This is indicated by both increases in abundance and area of occupancy. Since 1996, there has been a substantial rebound. While these recent increases are encouraging, the species is still at low levels compared with the beginning of the research surveys. Since the last DFO assessment in 2014, the population status remains relatively unchanged and has shown little recovery. ","Fall survey biomass index in Newfoundland and Labrador has increased. Based on the 2024 SAR, increases in abundance in NL (NAFO Divisions 2H and 2J3K) have occurred since the late-1990s, where the majority of the population resides. ",Yes
Sprague's pipit,Anthus spragueii,Bird,Threatened,5/2/2008,4/1/2010,4/1/2010,The recovery goals for the Sprague’s Pipit are to increase and then maintain population size and distribution at or above the 1980–1989 levels throughout the pipit’s historic range in Canada and to prevent further loss and degradation of native prairie within its historic range. The Recovery Strategy was amended in 2012. No changes were made to the recovery goals established in 2008. The Recovery Strategy was amended in 2012. No changes were made to the recovery goals established in 2008.,"The species has experienced long-term declines with no evidence of recovery. Long-term data from Bird Conservation Region 11, which includes most of the Sprague's Pipit population in Canada, show a decline of 4.4% per year between 1968 and 2008. Short-term data from the most recent 12-year period (1996−2008) show a non-significant increase of 1.4% per year.","The long-term decline of Sprague's Pipit appears to have stopped, although no significant recovery has yet occurred. ",Yes
Spring blue-eyed mary,Collinsia verna,"Vascular Plant, herb",Extirpated,6/23/2010,12/1/2022,,To follow the progress and findings of the ongoing cultivation and reintroduction studies in the United States.,n/a,n/a,Operational goals
Steller sea lion,Eumetopias jubatus,Mammal,Special Concern,1/25/2011,11/1/2013,12/20/2018,"Ensure that Canada does not cause unsustainable population declines, or a contraction of the current range or number of breeding sites in Canada.",Large population increases have been observed since Steller Sea Lions were protected in 1970 with a 4- to 5-fold increase in the size of the population in British Columbia. Two new rookeries have established in British Columbia.,"Populations have been increasing since the 1970s, and there has been an increase in the number of breeding sites.",Yes
Streaked horned lark,Eremophila alpestris strigata,Bird,Endangered,11/20/2007,4/1/2018,4/1/2018,Establish and maintain a breeding population of at least 10 breeding pairs distributed across a minimum of 3 sites within its historical breeding range.,"The population is currently estimated to be zero birds. It was last confirmed breeding in 1978, with the most recent indications of potential breeding in 2002.",The population is currently estimated to be zero birds. ,No
Striped bass (St. Lawrence River population),Morone saxatilis,"Fish, freshwater",Endangered,10/7/2011,11/1/2019,11/15/2017,"Recovery goal: Restore, over the next ten years, a striped bass population capable of reproducing and sustaining itself in the St. Lawrence Estuary and of integrating itself into the biological community without disturbance. Recovery Objectives: 1.Increase the number of striped bass; 2.Identify the habitats used by the striped bass; 3.Monitor the status of the striped bass population;  4.Monitor the status of certain components of the ichthyological community (prey, predators, competitors) in relationship with the striped bass; 5.Protect the striped bass population and its most important habitat. ","Fish from the St. Lawrence River population have not been caught since 1968 despite extensive scientific, recreational and commercial sampling. In 2002, fish from another population (Miramichi River) began to be stocked in the St. Lawrence River and, as the key historical threats in the St. Lawrence River had decreased, these fish established a self-reproducing population. Because these newly established fish were from another population, they are not considered to be part of the original St. Lawrence River population. The original St. Lawrence River population no longer exists.",The original St. Lawrence Striped Bass population is considered extinct.,No
Sweet pepperbush,Clethra alnifolia,"Vascular plant, herb",Threatened,9/8/2010,5/1/2014,5/1/2014,Maintain a persistent population and habitat in Nova Scotia.,"Trends have not been quantified but shoreline development may be causing a slight decline, likely not exceeding 4.6%. Threats due to invasive alien species and nutrient enrichment could have significant effects in the future, but do not yet appear to have reduced populations. ",Population appears to be stable or declining slightly.,Yes
Swift fox,Vulpes velox,Mammal,Threatened,1/14/2008,4/1/2021,11/1/2009,"By 2012, ensure a mature, reproducing population size of at least 250 foxes. By 2027, restore a self-sustaining population of 1000 or more mature, reproducing foxes.","The current population of Swift Fox in Canada is from reintroductions. In 1991/1992, the Canadian population was estimated to be 225 individuals. By 2000/2001, the population had more than doubled to 656 and reached a high in 2005/2006. An inferred population decline took place between the 2005/2006 and 2014/2015 surveys. Camera trapping in 2015 and 2018 suggests the population has remained stable. The current number of mature individuals estimated is 445.","The Canadian population increased from 1996 to 2001. An inferred population decline took place between the 2005/2006 and 2014/2015 surveys. However, camera trapping in 2015 and 2018 suggests the population has remained stable.",Yes
Tall bugbane,Actaea elata,"Vascular plant, herb",Endangered,3/17/2017,4/1/2018,4/1/2018,"Maintain stable or increasing number of populations and quality and quantity of habitat. Where feasible, restore additional populations and connective habitat within historic range.",Insufficient data exist to calculate population trends.,Population trends are unknown.,Insufficient data to determine trends
Tall woolly-heads,Psilocarphus elatior,"Vascular plant, herb",Endangered,8/11/2006,4/1/2018,4/1/2018,Maintain existing populations at current levels of abundance or greater. Restore populations to a level of abundance and distribution comparable to historical levels. Attain a viable population with a high probability of persistence. ,"In 2015, there were 50 000 to 65 000 mature individuals. Extreme fluctuations in mature plants may be a limiting factor if seeds do not persist in the soil for many years.",The largest subpopulation has decreased as a result of dumping of dredge spoils and loss of habitat.,No
Taylor's checkerspot,Euphydryas editha taylori,Insect,Endangered,8/11/2006,5/1/2011,5/1/2011,Attain viable self-sustaining populations within the species' historic range in Canada.,The species is extant at only 1 site; population size within the habitat surveyed is estimated as approximately 13 000. The population is projected to decline given current habitat trends. No other sites of occurrence have been found despite extensive searches.,"Population trends are unknown, but geographic range is not increasing.",No
Threaded vertigo,Vertigo rowellii,Mollusc,Special Concern,2/18/2019,5/1/2022,,"To maintain populations of Threaded Vertigo at all extant sites within the province, including any additional populations that may be identified in the future.","There is a total of 76 records of the species from 42 sites in British Columbia. Since the previous COSEWIC (2010) satus report, 48 new records and 22 new sites have been documented. There is insufficient data to determine species trends.",Insufficient datat to determine population and distribution trends.,Insufficient data to determine trends
Timber rattlesnake,Crotalus horridus,Reptile,Extirpated,3/23/2010,5/1/2023,,The recovery of the timber rattlesnake in Canada is not technically or biologically feasible. This will be re-evaluated in response to changing conditions and/or knowledge.,No change. This species has not been seen in Canada since 1941 despite intensive searches and the fact that it is easy to identify.,n/a,Not feasible
Tiny cryptantha,Cryptantha minima,"Vascular plant, herb",Threatened,10/25/2006,5/1/2012,5/1/2012,Maintain or increase existing populations. Maintain habitat to support their distribution. The Recovery Strategy was amended in 2012. No changes were made to the recovery goals established in 2006.,"Due to the natural level of variability in number of individuals within populations and between years, and the uncertainty of the extent of habitat with potential to support Tiny Cryptantha, it is not possible to determine population trends for this species without further research. However, population decline is projected based on the continuing loss of plants in Medicine Hat and through activities associated with oil and gas exploration.",Currently not possible to determine population trends for this species. ,Insufficient data to determine trends
Tope shark,Galeorhinus galeus,"Fish, marine",Special Concern,4/23/2012,4/1/2021,2/21/2022,Maintain viable populations and prevent a decline to levels at which they would become Threatened or Endangered.,Further data collection is necessary before an index of relative abundance can be created that will reflect actual abundance.,"More work needs to be completed in order to increase our understanding of the stock structure, habitat, and diet requirements of Tope Sharks to ensure the continued conservation of the species.",Insufficient data to determine trends
Turnor's willow,Saule de Turnor,"Vascular plant, herb",Special Concern,12/18/2013,4/1/2018,4/1/2018,Maintain current population density and area of occupancy.,Population estimated to be 1 520 000 to 33 300 000 individuals. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Twisted oak moss,Syntrichia laevipila,Moss,Special Concern,8/11/2011,11/1/2014,11/1/2014,Maintain known populations in British Columbia. ,One occurrence has been lost to urban development. New occurrences have been recorded but most sites have not been revisited. ,Trends cannot be determined.,Insufficient data to determine trends
Unarmoured threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Special Concern,11/10/2022,12/1/2023,,"Maintain self-sustaining populations of Unarmoured Threespine Stickleback in Boulton Lake, Rouge Lake, and Serendipity Lake.","Rough population estimates based on catch per unit effort in the 1970s and 1980s: 350,000 for Boulton Lake, 17,500 for Rouge Lake, and 22,000 for Serendipity Lake. These estimates have been adopted as the target abundance levels in the Management Plan.","While populations have declined in all three lakes due to introduction of aquatic invasive species and droughts, some recovery is suggested. However, net decline or recovery is unknown due to lack of updated abundance estimates.",Insufficient data to determine trends
Upper Great Lakes kiyi,Coregonus kiyi kiyi,"Fish, freshwater",Special Concern,6/15/2016,5/1/2005,8/29/2023,"The long-term goal of this management plan is to ensure the long-term persistence of kiyi throughout its current range in Lake Superior. Management should be directed toward gaining a greater understanding of its life history and the causes of its range contraction, and addressing the threat of invasive species to kiyi populations. More quantifiable objectives relating to individual populations will be developed once the necessary sampling and analysis have been completed.",Kiyi continues to be detected throughout its range in Lake Superior. Recent catch data shows an increase in abundance - likely a cyclical trend.,"Substantial progress has been made towards achieving the management objective for the kiyi in Canada as a result of these ongoing and/or completed activities. Continued fish community sampling in Lake Superior has revealed temporal trends in kiyi abundance and distribution.  However, a number of research questions stemming from the management plan remain  unanswered.",Mixed evidence
Vananda Creek benthic threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Endangered,8/21/2019,12/1/2023,8/3/2022,Maintain self-sustaining populations of stickleback species pairs in the Vananda Creek watershed.,"A 2016 mark-recapture estimated the Vananda Benthic Stickleback population at 118,058. There have been no estimates since, but they remain locally abundant and easy to trap for study, and there is no evidence of decline.","There has been no systematic monitoring of abundance for the Vananda Creek stickleback species pair, so population trends are unknown. High capture rates in other studies suggest abundance remains high.",Yes
Vananda Creek limnetic threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Endangered,8/21/2019,12/1/2023,8/3/2022,Maintain self-sustaining populations of stickleback species pairs in the Vananda Creek watershed.,"A 2016 mark-recapture estimated the Vananda Creek limnetic stickleback population at 110,612. There have been no estimates since, but they remain locally abundant and easy to trap for study, and there is no evidence of decline.","There has been no systematic monitoring of abundance for the Vananda Creek stickleback species pair, so population trends are unknown. High capture rates in other studies suggest abundance remains high.",Yes
Vancouver lamprey,Lampetra macrostoma,"Fish, freshwater",Threatened,9/27/2007,11/1/2017,8/15/2022,"Recovery Goal: Maintain a self-sustaining population within Cowichan and Mesachie lakes. Maintain, and where possible enhance, the ecological integrity of habitat. Recovery Objectives: 1) Maintain a self-sustaining population of Vancouver lamprey within Cowichan and Mesachie lakes that is resilient to short-term habitat perturbations. 2) Maintain, and where possible enhance, the ecological integrity of habitat for Vancouver lamprey. 3) Increase scientific understanding of Vancouver lamprey through additional investigation of its taxonomic status, natural history, critical habitat and threats to the species’ persistence. 4) Foster awareness of Vancouver lamprey and its conservation status, and encourage active local involvement in stewardship and habitat protection.","Robust abundance estimates do not exist for Vancouver Lamprey; however, MacConnachie and Wade (2016) summarize sampling studies from the 1980s to 2015 that suggest a potential decline. Further research, particularly into the relationship between prey availability and lamprey abundance, is required to confirm abundance estimates and trends.","Vancouver Lamprey are monitored through periodic studies and continue to be encountered throughout their known range, but there is a lack of current population abundance and trend data.",Insufficient data to determine trends
Verna's flower moth,Schinia verna,Insect,Threatened,2/1/2016,11/1/2017,11/1/2017,Maintain occupancy in confirmed occurrences.,No data are currently available on population sizes and trends.,There is insufficient information to determine population trends.,Insufficient data to determine trends
"Vesper sparrow, affinis subspecies",Pooecetes gramineus affinis,Bird,Endangered,12/20/2016,4/1/2018,4/1/2018,"Establish and maintain a breeding population of at least 30 breeding pairs distributed across a minimum of at least 3 sites, including the current site, within its historical breeding range.",Number of individuals is declining. No breeding has been confirmed since 2014. The current population is near zero.,Current population is near zero.,No
Victorin's gentian,Gentiane de Victorin,"Vascular plant, herb",Threatened,10/23/2012,4/1/2022,,"The short-term objectives are to maintain and, if possible, increase the population size and area of occupancy of Victorin’s Gentian within each of the 14 occurrences identified as priority targets. The long-term objectives are to maintain and, if possible, increase the population size and area of occupancy of Victorin’s Gentian throughout its range in Canada.","Short-lived annual or biennial plant endemic to Canada. Occurs in restricted tidal freshwater or brackish shoreline habitats of the St. Lawrence River estuary. Since the last COSEWIC assessment, due to increased search effort the number of known subpopulations has increased from 28 to 35. Population is estimated at more than 30 000 mature individuals. No overall population trends were identified by COSEWIC. Of the 14 priority sites identified in the recovery strategy, 9 are stable, 3 are decreasing and 2 are increasing due to increased search effort. ","Of the 14 priority sites identified in the recovery strategy, 9 are stable, 3 are decreasing and 2 are increasing due to increased search effort.",Mixed evidence
Victorin's water-hemlock,Cicuta maculata var. victorinii,"Vascular plant, herb",Special Concern,5/30/2011,4/1/2022,,"In the long term, the objective is to maintain and, if possible, increase the population size and area of occupancy of Victorin’s Water–hemlock throughout its range in Quebec. In the short term, the objective is to maintain and, if possible, increase the population size and area of occupancy of Victorin’s Water–hemlock for each of the 18 occurrences identified as priority targets.","Victorin's Water-hemlock is found in tall, open Prairie Cordgrass beds in freshwater and slightly brackish tidal marshes of the lower St. Lawrence estuary of southern Quebec. Population appears to be stable over the last 10 to 15 years. The population is estimated to be over 21 000 individuals with at least 16 637 mature individuals in 54 subpopulations. Most subpopulations appear stable with the exception of 3 locations (Saint-Romuald, Château-Richer and Cap Tourmente) due to storm erosion. ","Most subpopulations appear stable with the exception of 3 locations (Saint-Romuald, Château-Richer and Cap Tourmente) which suffered declines due to storm erosions at those locations. ",Mixed evidence
Vole ears lichen,Erioderma mollissimum,Lichen,Endangered,12/10/2014,4/1/2021,11/1/2009,"To ensure that the species' known range (2012) and the health and stability of the three known populations (2012) are not impacted by the biological resource use (of the species' host tree), transportation and service corridors, residential and commercial development, or invasive non-native species.","The only extant population in North America can be found along the coast of Nova Scotia and on the Avalon Peninsula of Newfoundland in Canada. In Nova Scotia there was a 14% loss (16 of 117) in the number of thalli recorded in the 17 occurrences that were surveyed in 2007/2008 and again in 2016. Some of the decline may be attributed to differences in survey methods. In Newfoundland in the 8 years of monitoring, 22 of the 84 (26%) mature and juvenile thalli have died. However, new thalli have been found. The number of extant thalli increased from 53 in 2012 to 62 in 2018. ","While there appears to be an overall decrease in the number of thalli, there have also been new thalli found. Differences in survey methods make it hard to conclusively make comparisons between surveys.",Mixed evidence
Warmouth,Lepomis gulosus,"Fish, freshwater",Special Concern,10/19/2009,5/1/2015,3/7/2022,"Maintain, or enhance, existing populations in Canada, and improve the quality and quantity of their associated habitats. ","The species has a very small distribution, exists at few locations and is subjected to continuing decline in extent and quality of habitat. Population sizes and trends for the 3 sub-populations are unknown. ",Observed decline in the quality and quantity of habitat.,Insufficient data to determine trends
Water pennywort,Hydrocotyle umbellata,"Vascular plant, herb",Special Concern,10/27/2022,5/1/2014,6/8/2022,Maintain extant populations at present levels of abundance or greater at current locations. Restore habitats to re-establish populations to areas of former habitat.,"A new site has been discovered since the previous assessment. Populations appear to be stable, based on annual surveys from 2004 to 2012 at Kejimkujik National Park, repeated comprehensive shoreline surveys at Wilsons Lake, and absence of observed disturbance at Springhaven Duck Lake.",Populations are stable.,Yes
Water-plantain buttercup,Ranunculus alismifolius,"Vascular plant, herb",Endangered,8/11/2006,4/1/2009,4/1/2009,"Maintain the 2 extant localities at current levels of abundance or greater. Restore Water-plantain Buttercup to its approximate historical extent of occurrence and area of occupancy and establish at least 5 new, independent and self-sustaining populations.","There are only 2 extant populations. Based on the most recent data (2007), there were 306 flowering plants in Canada. Over the past 10 to 15 years the Canadian population has fluctuated between about 45 and 306 mature, reproductive individuals per year, probably as a result of among-year variations in soil moisture during the spring and early summer as well as other factors.","Fluctuations in population size are likely the result of variable environmental conditions and no clear trend exists. However, no new sites have been established.",Mixed evidence
Wavy-rayed lampmussel,Lampsilis fasciola,Mollusc,Special Concern,2/23/2007,4/1/2010,6/11/2013,Restore degraded populations to healthy self-sustaining levels. Reintroduce the Wavy-rayed Lampmussel into areas where it formerly existed where feasible.,"Extensive quantitative surveys and long-term monitoring have been conducted since 1999. Many populations are showing signs of improvement. Population estimates have risen, area of occupancy has increased 2 to 3 fold, and relative abundances have increased from 2 to 4% to 20 to 50% in some watersheds. All but 1 population show signs of reproduction and recruitment. COSEWIC designated this species Endangered in 1999. In 2010, its status was re-examined and designated Special concern.",Population sizes are increasing and the area of occupancy is expanding.,Yes
Western brook lamprey (Morrison Creek population),Lampetra richardsoni,"Fish, freshwater",Endangered,7/23/2007,4/1/2010,11/21/2022,"Recovery Goal: To secure its long-term viability within its natural range. It is likely that this population will always remain at some risk due to its extremely limited distribution. Recovery Objectives: 1) Resolve taxonomic uncertainties related to Morrison Creek lamprey for the purposes of its effective protection and recovery. 2) Maintain a self-sustaining population of Morrison Creek lamprey within Morrison Creek. 3) Maintain, and where possible enhance, the ecological integrity of habitat for Morrison Creek lamprey. 4) Increase scientific understanding of Morrison Creek lamprey through additional investigation of its natural history, critical habitat and threats to its persistence. 5) Foster awareness of Morrison Creek lamprey and its conservation status, and encourage active local involvement in stewardship and habitat protection. ","While current population abundance and trends are unknown, Morrison Creek Lamprey have been monitored through periodic studies and continue to be encountered throughout their known range. ",Population trends are unknown.,Insufficient data to determine trends
"Western harvest mouse, dychei subspecies",Reithrodontomys megalotis dychei,Mammal,Endangered,12/30/2015,11/1/2019,,Recovery goal: To maintain the current distribution and maintain or attain self-sustaining populations at all currently occupied locations in Alberta and Saskatchewan.,Population data is not available.,Population data is not available.,Insufficient data to determine trends
"Western harvest mouse, megalotis subspecies",Reithrodontomys megalotis megalotis,Mammal,Endangered,12/30/2015,11/1/2019,,"Management goal: Maintain stable or increasing populations of the Western Harvest Mouse distributed throughout the species' known range in B.C. Management objectives: 1. Quantify population, habitat, and distribution targets required to maintain viable populations. 2. Secure protection for priority populations and habitats. 3. Assess and mitigate current threats at priority populations in B.C. 4. Address knowledge gaps related to key elements of Western Harvest Mouse ecology and threats.",Population data is not available.,Population data is not available.,Insufficient data to determine trends
Western prairie fringed-orchid,Platanthera praeclara,"Vascular plant, herb",Endangered,10/25/2006,11/1/2016,11/1/2016,"Maintain the population at its current population size and distribution, taking into account natural fluctuations.","The number of flowering individuals fluctuates widely from year to year. A decline may be inferred based on a gradual decline in suitable habitat, but there is no clear trend in population size.",There is no clear decline in population size.,Yes
Western silvery minnow,Hybognathus argyritis,"Fish, freshwater",Threatened,2/27/2008,11/1/2017,2/2/2022,To protect and maintain a self-sustaining population of Western Silvery Minnow within its current range within the Milk River in Canada.,It appears that the population of Western Silvery Minnow in the Milk River has not declined since the publication of the amended recovery strategy in 2017. ,"There are no known instances of population or habitat decline in the Milk River and there is no information to suggest that the population has declined since the amended recovery strategy (DFO 2017) was published, all of which suggests that the Western Silvery Minnow in the Milk River is being maintained. ",Yes
Westslope cutthroat trout (Alberta population),Oncorhynchus clarkii lewisi,"Fish, freshwater",Threatened,12/12/2019,11/1/2016,12/12/2022,"Maintain the existing nearly pure populations at self-sustaining levels and re-establish additional pure populations to self-sustaining levels, within the species’ original distribution.","Subpopulations in Alberta are depressed relative to historical levels, and extirpations in large portions of watersheds have occurred. The number and distribution of pure subpopulations has steadily declined in Alberta.",Pure populations are declining.,No
Westslope cutthroat trout (British Columbia population),Oncorhynchus clarkii lewisi ,"Fish, freshwater",Special Concern,3/20/2017,11/1/2016,6/27/2023,"Long-term persistence of Westslope Cutthroat Trout within its native range, through the objectives of; 1) maintain the native distribution and genetic diversity of populations; 2) maintain wild populations at abundance levels that prevent at-risk status assessment; 3) maintain, or rehabilitate, the capacity of natural habitat to meet abundance targets for populations.","Abundance averaged ~30 fish/km for WCT >30 cm from snorkel surveys in some Kootenay systems.  Applying the Alberta estimate of 100 fish/subpopulation to British Columbia systems indicates the presence of a minimum of 92,800 WCT.","Estimating abundance and trends over time for the DU as a whole is difficult. Standardized abundance surveys for WCT suggest the population is generally stable; however, regional variation exists.",Insufficient data to determine trends
White flower moth,Schinia bimatris,Insect,Endangered,8/11/2011,11/1/2014,11/1/2014,"Maintain self-sustaining populations of Unarmoured Threespine Stickleback in Boulton Lake, Rouge Lake, and Serendipity Lake.",Populations are expected to decline over the next century based on habitat projections.,Population declines are expected.,No
White sturgeon (Nechako River population),Acipenser transmontanus,"Fish, freshwater",Endangered,1/25/2023,,1/25/2023,"Recovery goal: ensure that each of the populations are sustainable throughout their natural range, are self-sustaining through natural reproduction, and to increase or restore opportunities for beneficial use, if and when feasible. Population and distribution objectives: 1) prevent extirpation of White Sturgeon in each of the four identified populations by preventing net loss of reproductive potential. 2) initiate, within 5 years, pilot studies towards restoration of natural recruitment for each population that is affected by dams. Within 10 years, identify methods for each population that, if and when implemented, have a high likelihood of restoring recruitment to a level sufficient to achieve the other recovery measures listed herein. 3) reach or exceed all of the following population and distribution targets for survival or recovery within 50 years: a) 1,000 mature individuals in an approximately 1:1 sex ratio at maturity; b) distribution over the natural range, with the exception of Duncan Reservoir, Slocan Lake, the lower Kootenay River between Corra Linn and Brilliant Dams, and the Columbia River upstream of Revelstoke Dam; and c) ongoing natural recruitment sufficient to meet all other targets. 4) reach or exceed population and distribution targets for beneficial use within specified timeframes. As success is achieved in meeting the biological recovery targets, the beneficial use targets and timelines will be established and adjusted. Such targets may vary among populations.","Nechako NSP adult abundance is estimated at 630 individuals. Natural recruitment target has not been achieved; 125 wild-origin juveniles were caught between 2009 and 2019, suggesting some degree of natural spawning success but not enough to sustain population levels (onoging recruitment failure). Conservation aquaculture and habitat restoration are ongoing. ","Annual monitoring of adults, juveniles, and spawning is conducted. Adult abundance is estimated at 630 individuals. 125 wild-origin juveniles were caught between 2009 and 2019, suggesting some degree of natural spawning success but not enough to sustain population levels (onoging recruitment failure). Conservation aquaculture and habitat restoration are ongoing. Natural recruitment has not been restored and adult population is below recovery target.",No
